"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:21:49.2930820 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\Folder","NAME NOT FOUND","Desired Access: Maximum Allowed"
"7:21:49.2930873 AM","malware.exe","976","RegQueryValue","HKCR\Folder\BrowseInPlace","NAME NOT FOUND","Length: 144"
"7:21:49.2930925 AM","malware.exe","976","RegQueryKey","HKCR\Folder","SUCCESS","Query: Name"
"7:21:49.2930970 AM","malware.exe","976","RegQueryKey","HKCR\Folder","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2931042 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\Folder\BrowseInPlace","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2931098 AM","malware.exe","976","RegQueryKey","HKCR\Folder","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2931145 AM","malware.exe","976","RegOpenKey","HKCR\Folder\BrowseInPlace","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2931197 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: Name"
"7:21:49.2931242 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2931313 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\AllFilesystemObjects","NAME NOT FOUND","Desired Access: Maximum Allowed"
"7:21:49.2931388 AM","malware.exe","976","RegQueryValue","HKCR\AllFilesystemObjects\BrowseInPlace","NAME NOT FOUND","Length: 144"
"7:21:49.2933301 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: Name"
"7:21:49.2933948 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2934102 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\AllFilesystemObjects\BrowseInPlace","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2934196 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2934249 AM","malware.exe","976","RegOpenKey","HKCR\AllFilesystemObjects\BrowseInPlace","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2934319 AM","malware.exe","976","RegQueryKey","HKCR\Directory","SUCCESS","Query: Name"
"7:21:49.2934381 AM","malware.exe","976","RegQueryKey","HKCR\Directory","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2934474 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\Directory\Clsid","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2934539 AM","malware.exe","976","RegQueryKey","HKCR\Directory","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2934587 AM","malware.exe","976","RegOpenKey","HKCR\Directory\Clsid","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2934662 AM","malware.exe","976","RegQueryKey","HKCR\Folder","SUCCESS","Query: Name"
"7:21:49.2934708 AM","malware.exe","976","RegQueryKey","HKCR\Folder","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2934781 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\Folder\Clsid","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2934837 AM","malware.exe","976","RegQueryKey","HKCR\Folder","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2934883 AM","malware.exe","976","RegOpenKey","HKCR\Folder\Clsid","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2934944 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: Name"
"7:21:49.2934990 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2935062 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\AllFilesystemObjects\Clsid","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2935118 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2935163 AM","malware.exe","976","RegOpenKey","HKCR\AllFilesystemObjects\Clsid","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2935229 AM","malware.exe","976","RegQueryKey","HKCR\Directory","SUCCESS","Query: Name"
"7:21:49.2935273 AM","malware.exe","976","RegQueryKey","HKCR\Directory","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2935343 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\Directory","NAME NOT FOUND","Desired Access: Maximum Allowed"
"7:21:49.2935395 AM","malware.exe","976","RegQueryValue","HKCR\Directory\IsShortcut","NAME NOT FOUND","Length: 144"
"7:21:49.2935446 AM","malware.exe","976","RegQueryKey","HKCR\Folder","SUCCESS","Query: Name"
"7:21:49.2935489 AM","malware.exe","976","RegQueryKey","HKCR\Folder","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2935557 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\Folder","NAME NOT FOUND","Desired Access: Maximum Allowed"
"7:21:49.2935605 AM","malware.exe","976","RegQueryValue","HKCR\Folder\IsShortcut","NAME NOT FOUND","Length: 144"
"7:21:49.2935654 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: Name"
"7:21:49.2935704 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2936194 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\AllFilesystemObjects","NAME NOT FOUND","Desired Access: Maximum Allowed"
"7:21:49.2936273 AM","malware.exe","976","RegQueryValue","HKCR\AllFilesystemObjects\IsShortcut","NAME NOT FOUND","Length: 144"
"7:21:49.2936355 AM","malware.exe","976","RegQueryKey","HKCR\Directory","SUCCESS","Query: Name"
"7:21:49.2936408 AM","malware.exe","976","RegQueryKey","HKCR\Directory","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2936486 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\Directory","NAME NOT FOUND","Desired Access: Maximum Allowed"
"7:21:49.2936538 AM","malware.exe","976","RegQueryValue","HKCR\Directory\AlwaysShowExt","SUCCESS","Type: REG_SZ, Length: 2, Data: "
"7:21:49.2937063 AM","malware.exe","976","RegQueryKey","HKCR\Directory","SUCCESS","Query: Name"
"7:21:49.2937139 AM","malware.exe","976","RegQueryKey","HKCR\Directory","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2937226 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\Directory","NAME NOT FOUND","Desired Access: Maximum Allowed"
"7:21:49.2937280 AM","malware.exe","976","RegQueryValue","HKCR\Directory\NeverShowExt","NAME NOT FOUND","Length: 144"
"7:21:49.2937341 AM","malware.exe","976","RegQueryKey","HKCR\Folder","SUCCESS","Query: Name"
"7:21:49.2937387 AM","malware.exe","976","RegQueryKey","HKCR\Folder","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2937981 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\Folder","NAME NOT FOUND","Desired Access: Maximum Allowed"
"7:21:49.2938045 AM","malware.exe","976","RegQueryValue","HKCR\Folder\NeverShowExt","NAME NOT FOUND","Length: 144"
"7:21:49.2938110 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: Name"
"7:21:49.2938167 AM","malware.exe","976","RegQueryKey","HKCR\AllFilesystemObjects","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"7:21:49.2938261 AM","malware.exe","976","RegOpenKey","HKCU\Software\Classes\AllFilesystemObjects","NAME NOT FOUND","Desired Access: Maximum Allowed"
"7:21:49.2938316 AM","malware.exe","976","RegQueryValue","HKCR\AllFilesystemObjects\NeverShowExt","NAME NOT FOUND","Length: 144"
"7:21:49.2938401 AM","malware.exe","976","RegCloseKey","HKCR\AllFilesystemObjects","SUCCESS",""
"7:21:49.2938461 AM","malware.exe","976","RegCloseKey","HKCR\Folder","SUCCESS",""
"7:21:49.2938513 AM","malware.exe","976","RegCloseKey","HKCR\Directory","SUCCESS",""
"7:21:49.2938847 AM","malware.exe","976","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:21:49.2938908 AM","malware.exe","976","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Desired Access: Read"
"7:21:49.2939007 AM","malware.exe","976","RegSetInfoKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"7:21:49.2939074 AM","malware.exe","976","RegQueryKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"7:21:49.2939129 AM","malware.exe","976","RegOpenKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}","SUCCESS","Desired Access: Read"
"7:21:49.2939211 AM","malware.exe","976","RegCloseKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions","SUCCESS",""
"7:21:49.2939264 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\Category","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4"
"7:21:49.2939319 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\Name","SUCCESS","Type: REG_SZ, Length: 20, Data: Libraries"
"7:21:49.2939374 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\ParentFolder","SUCCESS","Type: REG_SZ, Length: 78, Data: {3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}"
"7:21:49.2939432 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\Description","NAME NOT FOUND","Length: 144"
"7:21:49.2939797 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\RelativePath","SUCCESS","Type: REG_SZ, Length: 56, Data: Microsoft\Windows\Libraries"
"7:21:49.2939876 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\ParsingName","NAME NOT FOUND","Length: 144"
"7:21:49.2939921 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\InfoTip","NAME NOT FOUND","Length: 144"
"7:21:49.2939965 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\LocalizedName","NAME NOT FOUND","Length: 144"
"7:21:49.2940008 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\Icon","NAME NOT FOUND","Length: 144"
"7:21:49.2940050 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\Security","NAME NOT FOUND","Length: 144"
"7:21:49.2940092 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\StreamResource","NAME NOT FOUND","Length: 144"
"7:21:49.2940133 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\StreamResourceType","NAME NOT FOUND","Length: 144"
"7:21:49.2940175 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\LocalRedirectOnly","NAME NOT FOUND","Length: 144"
"7:21:49.2940216 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\Roamable","NAME NOT FOUND","Length: 144"
"7:21:49.2940257 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\PreCreate","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"7:21:49.2940302 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\Stream","NAME NOT FOUND","Length: 144"
"7:21:49.2940343 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\PublishExpandedPath","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"7:21:49.2940387 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\Attributes","NAME NOT FOUND","Length: 144"
"7:21:49.2940428 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\FolderTypeID","NAME NOT FOUND","Length: 144"
"7:21:49.2940469 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\InitFolderHandler","NAME NOT FOUND","Length: 144"
"7:21:49.2940542 AM","malware.exe","976","RegQueryKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"7:21:49.2940593 AM","malware.exe","976","RegOpenKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}\PropertyBag","NAME NOT FOUND","Desired Access: Read"
"7:21:49.2940677 AM","malware.exe","976","RegCloseKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}","SUCCESS",""
"7:21:49.2940820 AM","malware.exe","976","RegQueryKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"7:21:49.2940872 AM","malware.exe","976","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1","SUCCESS","Desired Access: Query Value"
"7:21:49.2940967 AM","malware.exe","976","RegQueryKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"7:21:49.2941028 AM","malware.exe","976","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\KnownFolders","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2941098 AM","malware.exe","976","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1","SUCCESS",""
"7:21:49.2941188 AM","malware.exe","976","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"7:21:49.2941257 AM","malware.exe","976","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:21:49.2941314 AM","malware.exe","976","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS","Desired Access: Read"
"7:21:49.2941388 AM","malware.exe","976","RegSetInfoKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"7:21:49.2941447 AM","malware.exe","976","RegCloseKey","HKCU","SUCCESS",""
"7:21:49.2941515 AM","malware.exe","976","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders\{1B3EA5DC-B587-4786-B4EF-BD1DC332AEAE}","NAME NOT FOUND","Length: 144"
"7:21:49.2941710 AM","malware.exe","976","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:21:49.2941766 AM","malware.exe","976","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Desired Access: Read"
"7:21:49.2941822 AM","malware.exe","976","RegSetInfoKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"7:21:49.2941871 AM","malware.exe","976","RegQueryKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"7:21:49.2941917 AM","malware.exe","976","RegOpenKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}","SUCCESS","Desired Access: Read"
"7:21:49.2941985 AM","malware.exe","976","RegCloseKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions","SUCCESS",""
"7:21:49.2942031 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\Category","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4"
"7:21:49.2942078 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\Name","SUCCESS","Type: REG_SZ, Length: 16, Data: AppData"
"7:21:49.2942127 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\ParentFolder","NAME NOT FOUND","Length: 144"
"7:21:49.2942171 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\Description","NAME NOT FOUND","Length: 144"
"7:21:49.2942214 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\RelativePath","SUCCESS","Type: REG_SZ, Length: 32, Data: AppData\Roaming"
"7:21:49.2942260 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\ParsingName","NAME NOT FOUND","Length: 144"
"7:21:49.2942304 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\InfoTip","NAME NOT FOUND","Length: 144"
"7:21:49.2942346 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\LocalizedName","NAME NOT FOUND","Length: 144"
"7:21:49.2942388 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\Icon","NAME NOT FOUND","Length: 144"
"7:21:49.2942430 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\Security","NAME NOT FOUND","Length: 144"
"7:21:49.2942472 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\StreamResource","NAME NOT FOUND","Length: 144"
"7:21:49.2942515 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\StreamResourceType","NAME NOT FOUND","Length: 144"
"7:21:49.2942564 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\LocalRedirectOnly","NAME NOT FOUND","Length: 144"
"7:21:49.2942607 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\Roamable","NAME NOT FOUND","Length: 144"
"7:21:49.2942655 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\PreCreate","NAME NOT FOUND","Length: 144"
"7:21:49.2942697 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\Stream","NAME NOT FOUND","Length: 144"
"7:21:49.2942739 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\PublishExpandedPath","NAME NOT FOUND","Length: 144"
"7:21:49.2942781 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\Attributes","NAME NOT FOUND","Length: 144"
"7:21:49.2942828 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\FolderTypeID","NAME NOT FOUND","Length: 144"
"7:21:49.2942874 AM","malware.exe","976","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\InitFolderHandler","NAME NOT FOUND","Length: 144"
"7:21:49.2942931 AM","malware.exe","976","RegQueryKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"7:21:49.2942977 AM","malware.exe","976","RegOpenKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}\PropertyBag","NAME NOT FOUND","Desired Access: Read"
"7:21:49.2943047 AM","malware.exe","976","RegCloseKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{3EB685DB-65F9-4CF6-A03A-E3EF65729F3D}","SUCCESS",""
"7:21:49.2943138 AM","malware.exe","976","RegQueryKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"7:21:49.2943189 AM","malware.exe","976","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1","SUCCESS","Desired Access: Query Value"
"7:21:49.2943251 AM","malware.exe","976","RegQueryKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"7:21:49.2943306 AM","malware.exe","976","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\KnownFolders","NAME NOT FOUND","Desired Access: Query Value"
"7:21:49.2943358 AM","malware.exe","976","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1","SUCCESS",""
"7:21:49.2943409 AM","malware.exe","976","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders\AppData","SUCCESS","Type: REG_EXPAND_SZ, Length: 60, Data: %USERPROFILE%\AppData\Roaming"
"7:21:49.2943618 AM","malware.exe","976","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS",""
"7:21:49.2944234 AM","malware.exe","976","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:21:49.2944297 AM","malware.exe","976","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Desired Access: Read"
"7:21:49.2944368 AM","malware.exe","976","RegSetInfoKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"7:21:49.2944419 AM","malware.exe","976","RegQueryKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions","SUCCESS","Query: HandleTags, HandleTags: 0x400"
